,,,,,,,,WMT24,,,,,,,,,,ArenaHard,,,,,,IFEval,,,
Open Instruct LLMs,EuroLLM-1.7B-Instruct,1.7,0.7937,0.7935,0.7947,0.2558,#DIV/0!,0.7930,0.8069,0.8073,0.7865,0.8010,0.8296,0.8075,0.7160,0.8350,0.7544,,,,,,,0.2107,0.1830,0.3273,0.3022
Open Instruct LLMs,EuroLLM-9B-Instruct,9,0.8335,0.8290,0.8519,0.6586,#DIV/0!,0.8213,0.8332,0.8534,0.8222,0.8467,0.8581,0.8431,0.7537,0.8851,0.8186,,,,,,,0.6266,0.5952,0.7206,0.6918
Open Instruct LLMs,aya-expanse-8b,8,0.8288,0.8240,0.8481,0.6669,#DIV/0!,0.8153,0.8292,0.8459,0.8113,0.8409,0.8628,0.8337,0.7526,0.8717,0.8245,,,,,,,0.6488,0.5860,0.7410,0.6918
Open Instruct LLMs,aya-expanse-32b,32,0.8318,0.8260,0.8549,0.7594,#DIV/0!,0.8111,0.8252,0.8465,0.8186,0.8456,0.8671,0.8357,0.7585,0.8755,0.8342,,,,,,,0.7449,0.6895,0.8237,0.7794
MT LLMs,GemmaX2-28-2B-v0.1,2,0.7701,0.7750,0.7503,0.0152,#DIV/0!,0.7528,0.7856,0.7799,0.7579,0.7332,0.8345,0.8329,0.7235,0.7173,0.7832,,,,,,,0.0148,0.0148,0.0156,0.0156
MT LLMs,GemmaX2-28-9B-v0.1,9,0.7853,0.7824,0.7970,0.0036,#DIV/0!,0.7807,0.7823,0.7892,0.7529,0.7548,0.8413,0.8310,0.7271,0.7834,0.8105,,,,,,,0.0018,0.0018,0.0060,0.0048
MT LLMs,ALMA-7B-R,7,0.7355,0.7306,0.7552,0.0318,#DIV/0!,0.7986,0.7555,0.8124,0.8018,0.7456,0.7227,0.8057,0.4021,0.7510,0.7594,,,,,,,0.0222,0.0222,0.0420,0.0408
MT LLMs,ALMA-13B-R,13,0.7521,0.7626,0.7100,0.0045,#DIV/0!,0.8106,0.8009,0.8194,0.8110,0.7639,0.8104,0.8210,0.4634,0.6380,0.7819,,,,,,,0.0018,0.0018,0.0072,0.0072
Tower V1,TowerInstruct-7B-v0.2,7,0.7438,0.7460,0.7351,0.3334,#DIV/0!,0.8111,0.8257,0.6746,0.8116,0.7814,0.7476,0.8279,0.4880,0.7421,0.7281,,,,,,,0.2865,0.2569,0.4089,0.3813
Tower V1,TowerInstruct-Mistral-7B-v0.2,7,0.7296,0.7227,0.7569,0.3409,#DIV/0!,0.8163,0.8296,0.5198,0.8207,0.7953,0.7106,0.8359,0.4535,0.7532,0.7606,,,,,,,0.2902,0.2699,0.4125,0.3909
Tower V1,TowerInstruct-13B-v0.1,13,0.7839,0.7763,0.8141,0.3038,#DIV/0!,0.8182,0.8325,0.7399,0.8224,0.7962,0.8162,0.8371,0.5481,0.8289,0.7993,,,,,,,0.2606,0.2421,0.3669,0.3453
Tower V2,Tower-v2-7B,7,0.8423,0.8378,0.8603,0.4132,#DIV/0!,0.8264,0.8382,0.8635,0.8318,0.8586,0.8711,0.8483,0.7646,0.8894,0.8311,,,,,,,0.3660,0.3457,0.4820,0.4592
Tower V2,Tower-v2-70B,70,0.8473,0.8423,0.8671,0.5122,#DIV/0!,0.8320,0.8468,0.8665,0.8363,0.8631,0.8722,0.8527,0.7688,0.8939,0.8403,,,,,,,0.4732,0.4233,0.6007,0.5516
Tower V3,Tower-3.0-anthill-241001,2,0.8303,0.8261,0.8470,0.5411,#DIV/0!,0.8142,0.8309,0.8386,0.8189,0.8451,0.8602,0.8417,0.7593,0.8748,0.8191,,,,,,,0.5009,0.4621,0.6163,0.5851
Tower V3,Tower-3.0-sugarloaf-241001,9,0.8469,0.8423,0.8653,0.7725,#DIV/0!,0.8310,0.8429,0.8626,0.8378,0.8621,0.8732,0.8540,0.7749,0.8918,0.8387,,,,,,,0.7468,0.7172,0.8249,0.8010
Tower V3,Tower-3.0-vesuvius-241001,70,0.8474,0.8427,0.8661,0.6863,#DIV/0!,0.8319,0.8458,0.8640,0.8375,0.8629,0.8706,0.8539,0.7753,0.8922,0.8400,,,,,,,0.6636,0.6044,0.7614,0.7158
Tower V4,Tower-4-Anthill,2,0.8302,0.8255,0.8488,0.6732,#DIV/0!,0.8137,0.8304,0.8381,0.8169,0.8438,0.8611,0.8404,0.7596,0.8770,0.8205,,,,,,,0.6506,0.6044,0.7374,0.7002
Tower V4,Tower-4-Anthill-SFT,2,0.8278,0.8233,0.8462,0.6340,#DIV/0!,0.8121,0.8287,0.8337,0.8149,0.8425,0.8596,0.8380,0.7565,0.8757,0.8167,,,,,,,0.6081,0.5656,0.6990,0.6631
Tower V4,Tower-4-Sugarloaf,9,0.8491,0.8445,0.8677,0.8384,#DIV/0!,0.8317,0.8427,0.8647,0.8395,0.8652,0.8754,0.8557,0.7810,0.8936,0.8417,,,,,,,0.8226,0.7948,0.8801,0.8561
Tower V4,Tower-4-Sugarloaf-SFT,9,0.8472,0.8423,0.8668,0.8115,#DIV/0!,0.8308,0.8406,0.8634,0.8367,0.8627,0.8737,0.8543,0.7761,0.8930,0.8406,,,,,,,0.7948,0.7652,0.8561,0.8297
Tower V4,Tower-4-Vesuvius-SFT,72,0.8476,0.8427,0.8674,0.8750,#DIV/0!,0.8326,0.8473,0.8592,0.8384,0.8561,0.8785,0.8594,0.7697,0.8887,0.8461,,,,,,,0.8669,0.8392,0.9077,0.8861
