model,score,rating_q025,rating_q975,CI,avg_tokens,date
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_hercule_hi,10.96,9.5,12.43,"(-1.46, +1.47)",1529.0,2025-04-07
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_ours_7B_REAL,10.71,9.28,11.89,"(-1.43, +1.18)",1750.0,2025-04-07
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_translated_data_3_langs_REAL,10.67,9.59,11.88,"(-1.08, +1.21)",1479.0,2025-04-07
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_hercule_fr,10.25,9.28,11.26,"(-0.97, +1.01)",1621.0,2025-04-07
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_ours_14B,10.12,8.89,11.18,"(-1.23, +1.06)",1962.0,2025-04-07
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_translated_data_3_langs,9.99,8.74,11.55,"(-1.25, +1.56)",1494.0,2025-04-07
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_ours_14B_REAL,9.85,9.09,11.19,"(-0.76, +1.34)",1953.0,2025-04-07
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_ours_3B,9.53,8.61,10.67,"(-0.92, +1.14)",2178.0,2025-04-07
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_prometheus_with_mistral,9.51,8.56,10.75,"(-0.95, +1.24)",1895.0,2025-04-07
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_prometheus_2_8x7B,9.43,8.19,10.36,"(-1.24, +0.93)",1545.0,2025-04-07
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_prometheus_2_7B,9.38,8.37,10.57,"(-1.01, +1.19)",1545.0,2025-04-07
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_ours_3B_REAL,9.32,8.41,10.41,"(-0.91, +1.09)",2307.0,2025-04-07
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_prometheus_with_eurollm_REAL,9.17,8.44,10.66,"(-0.73, +1.49)",1941.0,2025-04-07
Widn__Tower-4-Anthill,9.08,8.53,9.66,"(-0.55, +0.58)",2367.0,2025-04-07
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_prometheus_with_eurollm,8.91,8.06,9.84,"(-0.85, +0.93)",1973.0,2025-04-07
Qwen2.5-3B-Instruct,8.83,7.87,9.85,"(-0.96, +1.02)",1093.0,2025-04-07
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_add_mt,8.63,7.46,9.53,"(-1.17, +0.90)",1595.0,2025-04-07
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_prometheus_with_qwen,8.62,7.69,9.71,"(-0.93, +1.09)",1457.0,2025-04-07
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_qwen_14,8.53,7.44,9.47,"(-1.09, +0.94)",2080.0,2025-04-07
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_prometheus_with_aya,8.51,7.44,9.47,"(-1.07, +0.96)",1610.0,2025-04-07
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_prometheus_with_mistral_REAL,8.44,7.27,9.53,"(-1.17, +1.09)",1570.0,2025-04-07
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_qwen_3,8.19,6.87,8.99,"(-1.32, +0.80)",1813.0,2025-04-07
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_qwen_7,7.73,6.8,8.54,"(-0.93, +0.81)",2066.0,2025-04-07
Widn__Tower-3.0-vesuvius-241001,7.68,6.69,8.8,"(-0.99, +1.12)",1164.0,2025-04-07
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_glider,7.67,6.78,8.54,"(-0.89, +0.87)",2121.0,2025-04-07
Qwen__Qwen2.5-3B-Instruct,7.51,6.76,8.67,"(-0.75, +1.16)",2303.0,2025-04-07
Widn__Tower-3.0-sugarloaf-241001,6.18,5.18,7.14,"(-1.00, +0.96)",1294.0,2025-04-07
meta-llama__Llama-3.1-8B-Instruct,5.79,4.76,6.71,"(-1.03, +0.92)",2223.0,2025-04-07
Widn__Tower-4-Anthill-SFT,5.22,4.4,5.84,"(-0.82, +0.62)",2341.0,2025-04-07
utter-project__EuroLLM-9B-Instruct,4.92,4.21,5.4,"(-0.71, +0.48)",1500.0,2025-04-07
Unbabel__Tower-Llama3-70B-WMT24-Merged-2106,3.4,2.66,4.08,"(-0.74, +0.68)",961.0,2025-04-07
Widn__Tower-3.0-anthill-241001,2.33,1.73,2.83,"(-0.60, +0.50)",1612.0,2025-04-07
meta-llama__Llama-2-13b-chat-hf,1.8,1.4,2.38,"(-0.40, +0.58)",2195.0,2025-04-07
meta-llama__Llama-3.2-3B-Instruct,1.8,1.34,2.19,"(-0.46, +0.39)",3494.0,2025-04-07
meta-llama__Llama-2-7b-chat-hf,1.67,1.2,2.14,"(-0.47, +0.47)",2310.0,2025-04-07
mistralai__Mistral-7B-Instruct-v0.1,0.32,0.14,0.52,"(-0.18, +0.20)",3618.0,2025-04-07
Unbabel__Tower-Mistral-7B-Porfirissimo-2607,0.28,0.09,0.47,"(-0.19, +0.19)",2073.0,2025-04-07
ModelSpace__GemmaX2-28-2B-v0.1,0.22,0.15,0.36,"(-0.07, +0.14)",147.0,2025-04-07
Unbabel__TowerInstruct-7B-v0.2,0.21,0.06,0.42,"(-0.15, +0.21)",1087.0,2025-04-07
Unbabel__TowerInstruct-Mistral-7B-v0.2,0.18,0.04,0.38,"(-0.14, +0.20)",1123.0,2025-04-07
ModelSpace__GemmaX2-28-9B-v0.1,0.17,0.09,0.31,"(-0.08, +0.14)",275.0,2025-04-07
haoranxu__ALMA-13B-R,0.17,0.07,0.28,"(-0.10, +0.11)",353.0,2025-04-07
Unbabel__TowerInstruct-13B-v0.1,0.11,0.03,0.22,"(-0.08, +0.11)",992.0,2025-04-07
haoranxu__ALMA-7B-R,0.03,0.01,0.1,"(-0.02, +0.07)",983.0,2025-04-07
utter-project__EuroLLM-1.7B-Instruct,0.03,0.01,0.11,"(-0.02, +0.08)",1746.0,2025-04-07
