model,score,rating_q025,rating_q975,CI,avg_tokens,date
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_ours_14B,10.13,8.88,11.32,"(-1.25, +1.19)",1962.0,2025-04-06
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_translated_data_3_langs,10.0,8.81,11.39,"(-1.19, +1.39)",1494.0,2025-04-06
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_ours_14B_REAL,9.86,9.05,10.99,"(-0.81, +1.13)",1953.0,2025-04-06
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_ours_3B,9.53,8.5,10.54,"(-1.03, +1.01)",2178.0,2025-04-06
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_prometheus_with_mistral,9.51,8.39,10.45,"(-1.12, +0.94)",1895.0,2025-04-06
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_prometheus_2_8x7B,9.44,8.45,10.5,"(-0.99, +1.06)",1545.0,2025-04-06
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_prometheus_2_7B,9.38,7.9,10.36,"(-1.48, +0.98)",1545.0,2025-04-06
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_ours_3B_REAL,9.32,7.98,10.17,"(-1.34, +0.85)",2307.0,2025-04-06
Widn__Tower-4-Anthill,9.25,8.31,10.41,"(-0.94, +1.16)",2383.0,2025-04-06
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_prometheus_with_eurollm_REAL,9.18,8.05,10.11,"(-1.13, +0.93)",1941.0,2025-04-06
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_prometheus_with_eurollm,8.92,7.84,10.06,"(-1.08, +1.14)",1973.0,2025-04-06
Qwen2.5-3B-Instruct,8.83,7.91,10.04,"(-0.92, +1.21)",1093.0,2025-04-06
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_add_mt,8.62,7.71,9.9,"(-0.91, +1.28)",1595.0,2025-04-06
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_prometheus_with_qwen,8.62,7.72,9.72,"(-0.90, +1.10)",1457.0,2025-04-06
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_qwen_14,8.53,7.53,9.38,"(-1.00, +0.85)",2080.0,2025-04-06
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_prometheus_with_aya,8.5,7.5,9.38,"(-1.00, +0.88)",1610.0,2025-04-06
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_prometheus_with_mistral_REAL,8.44,7.4,9.39,"(-1.04, +0.95)",1570.0,2025-04-06
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_qwen_3,8.19,7.22,9.13,"(-0.97, +0.94)",1813.0,2025-04-06
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_qwen_7,7.72,6.84,8.8,"(-0.88, +1.08)",2066.0,2025-04-06
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_glider,7.67,6.59,8.28,"(-1.08, +0.61)",2121.0,2025-04-06
Widn__Tower-3.0-vesuvius-241001,7.67,6.53,8.73,"(-1.14, +1.06)",1164.0,2025-04-06
Qwen__Qwen2.5-3B-Instruct,7.51,6.62,8.59,"(-0.89, +1.08)",2303.0,2025-04-06
Widn__Tower-3.0-sugarloaf-241001,6.18,5.34,6.9,"(-0.84, +0.72)",1294.0,2025-04-06
meta-llama__Llama-3.1-8B-Instruct,5.77,5.03,6.69,"(-0.74, +0.92)",2223.0,2025-04-06
Widn__Tower-4-Anthill-SFT,5.21,4.44,6.14,"(-0.77, +0.93)",2341.0,2025-04-06
utter-project__EuroLLM-9B-Instruct,4.92,4.1,5.71,"(-0.82, +0.79)",1500.0,2025-04-06
Unbabel__Tower-Llama3-70B-WMT24-Merged-2106,3.39,2.72,4.02,"(-0.67, +0.63)",961.0,2025-04-06
Widn__Tower-3.0-anthill-241001,2.33,1.78,2.88,"(-0.55, +0.55)",1612.0,2025-04-06
meta-llama__Llama-3.2-3B-Instruct,1.8,1.49,2.36,"(-0.31, +0.56)",3494.0,2025-04-06
meta-llama__Llama-2-13b-chat-hf,1.79,1.24,2.38,"(-0.55, +0.59)",2195.0,2025-04-06
meta-llama__Llama-2-7b-chat-hf,1.66,1.32,2.13,"(-0.34, +0.47)",2310.0,2025-04-06
mistralai__Mistral-7B-Instruct-v0.1,0.32,0.18,0.5,"(-0.14, +0.18)",3618.0,2025-04-06
Unbabel__Tower-Mistral-7B-Porfirissimo-2607,0.29,0.14,0.49,"(-0.15, +0.20)",2073.0,2025-04-06
ModelSpace__GemmaX2-28-2B-v0.1,0.23,0.09,0.33,"(-0.14, +0.10)",147.0,2025-04-06
Unbabel__TowerInstruct-7B-v0.2,0.22,0.08,0.38,"(-0.14, +0.16)",1087.0,2025-04-06
Unbabel__TowerInstruct-Mistral-7B-v0.2,0.18,0.03,0.35,"(-0.15, +0.17)",1123.0,2025-04-06
ModelSpace__GemmaX2-28-9B-v0.1,0.17,0.08,0.26,"(-0.09, +0.09)",275.0,2025-04-06
haoranxu__ALMA-13B-R,0.17,0.07,0.26,"(-0.10, +0.09)",353.0,2025-04-06
Unbabel__TowerInstruct-13B-v0.1,0.11,0.03,0.23,"(-0.08, +0.12)",992.0,2025-04-06
haoranxu__ALMA-7B-R,0.03,0.01,0.08,"(-0.02, +0.05)",983.0,2025-04-06
utter-project__EuroLLM-1.7B-Instruct,0.03,0.01,0.1,"(-0.02, +0.07)",1746.0,2025-04-06
